name,slug,type,website,phone,email,address,coverage,trust_score,gphc_registered,cqc_regulated,mhra_compliant,gmc_doctors,medications,consultation_fee,consultation_method,bmi_requirement,wait_time,special_offers,delivery_options,locations,rating,review_count,image_url,logo_url,description,id,created_date,updated_date,created_by_id,is_sample
"LloydsPharmacy Online Doctor","","Online Doctor Service","https://onlinedoctor.lloydspharmacy.com","Not provided","Not provided","Online (LloydsPharmacy outlets across UK)","UK wide","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Online consultation + doctor review","","","15% off subscription purchases","Free for orders over £30, £3.99 standard","","","","","","LloydsPharmacy Online Doctor offers a range of online healthcare services, including treatments for weight loss, sexual health, men's and women's health, and general health concerns. Their team comprises NHS-experienced UK clinicians providing confidential assessments, with options for click and collect or delivery to your door.","688bd73ccf1d09a2a32b4762","2025-07-31T20:51:08.044000","2025-08-02T23:22:07.418000","6886aa4a7118eb838f680beb",""
"Oxford Online Pharmacy","","Pharmacy Chain","https://www.oxfordonlinepharmacy.co.uk","Not provided","Not provided","Goytre Hall, Llanover, Abergavenny NP7 9DS (as general contact – not essential for dataset)","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","Next day delivery available","Free delivery on orders over £40","Not Found","","4.8","29028","","","Oxford Online Pharmacy offers a confidential private GP consultation service, providing treatments for conditions like erectile dysfunction, hair loss, and hormone replacement therapy. They ensure patient safety and deliver medications discreetly and quickly.","688bd73ccf1d09a2a32b4763","2025-07-31T20:51:08.052000","2025-08-02T23:22:13.445000","6886aa4a7118eb838f680beb",""
"Assured Pharmacy","","Online Doctor Service","https://www.cloudpharmacy.co.uk","Not Found","Not Found","Not Found","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""£149.95"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£149.95"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£169.95"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£189.95"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£209.95"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£209.95"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","Same day","Lowest UK Price Guarantee","Not Found","","4.5","14995","https://www.cloudpharmacy.co.uk","","Assured Pharmacy is a UK-registered online pharmacy offering treatments for erectile dysfunction, weight loss, hair loss, and premature ejaculation. They provide free tracked delivery and ensure a safe, UK-regulated service.","688bd73ccf1d09a2a32b4764","2025-07-31T20:51:08.057000","2025-08-02T23:22:15.709000","6886aa4a7118eb838f680beb",""
"Chemist4U","","Pharmacy Chain","https://www.chemist-4-u.com","Not provided","Not provided","Online – HQ not specified","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Free delivery on orders over £30*","Not Found","","4.8","104705","","","Chemist4U is a UK-based online pharmacy offering fast, safe, and discreet access to prescription medications, over-the-counter products, and expert-led wellness advice. Regulated by the General Pharmaceutical Council (GPhC) and the MHRA, they dispense over 180,000 prescriptions each month and provide free home delivery for all NHS prescriptions. They also offer weight loss treatments, including Mounjaro (tirzepatide), Wegovy, and other GLP-1 injections, prescribed following an online consultation with a UK-registered prescriber to ensure clinical suitability and safe use.","688bd73ccf1d09a2a32b4765","2025-07-31T20:51:08.062000","2025-08-02T23:22:23.340000","6886aa4a7118eb838f680beb",""
"Boots Online Doctor","","Online Doctor Service","https://onlinedoctor.boots.com","Not provided","Not provided","Not specified (online service; Boots stores across UK)","UK wide","","","","","","{""Mounjaro_2_5mg"":{""price"":""£219.00"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£219.00"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£229.00"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£229.00"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£249.00"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£249.00"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""£199.00"",""availability"":""Available""},""Wegovy_0_5mg"":{""price"":""£199.00"",""availability"":""Available""},""Wegovy_1mg"":{""price"":""£199.00"",""availability"":""Available""},""Wegovy_1_7mg"":{""price"":""£249.00"",""availability"":""Available""},""Wegovy_2_4mg"":{""price"":""£299.00"",""availability"":""Available""}}","15","Online questionnaire + GP review","","2-24 hours","20% off all Boots Online Doctor Skin Services with code ‘SKIN20’","Free for orders over £30, £3.99 standard","","2.75","51","https://onlinedoctor.boots.com","","Boots Online Doctor offers convenient online healthcare services, including prescription treatments and home test kits, with options for in-store pickup or free home delivery.","688bd73ccf1d09a2a32b4766","2025-07-31T20:51:08.067000","2025-08-02T23:22:30.817000","6886aa4a7118eb838f680beb",""
"Medicspot Weight Loss Programme","","Online Doctor Service","https://www.medicspot.co.uk","Not provided","Not provided","Not specified (online service)","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Money Back Guarantee","Not Found","","4.4","12318","","","Medicspot offers a clinically-proven weight loss programme combining prescription medications with personalized support to help individuals achieve sustainable weight loss.","688bd73ccf1d09a2a32b4767","2025-07-31T20:51:08.073000","2025-08-02T23:22:34.698000","6886aa4a7118eb838f680beb",""
"Well Pharmacy (Weight Management)","","Online Doctor Service","https://www.well.co.uk/services/weight-management","Not provided","Not provided","Well pharmacies across UK; online service","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","260","Not Found","","Next working day","Not Found","Not Found","","","","","","Well Pharmacy offers a medicated weight management service combining prescribed treatments with expert pharmacist support to help individuals achieve a healthy weight. The service is available to those aged 18 to 75 with a BMI of 30 or above, or 27 or above with a weight-related health condition. The program includes a free initial consultation, weekly phone check-ins for the first month, and monthly in-pharmacy consultations. The cost is £260 per month, which includes a monthly consultation with a pharmacist to track progress and provide support.","688bd73ccf1d09a2a32b4768","2025-07-31T20:51:08.077000","2025-08-02T23:22:39.685000","6886aa4a7118eb838f680beb",""
"Chemist-4-U","","Online Doctor Service","https://www.chemist-4-u.co.uk","Not Found","Not Found","Not Found","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""£129.00"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£129.00"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£169.00"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£179.00"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£189.00"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£189.00"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""1 pen: £75.00; 2 pens: £150.00; 3 pens: £225.00; 5 pens: £375.00"",""availability"":""Available""},""Wegovy_0_25mg"":{""price"":""£125.00"",""availability"":""Available""},""Wegovy_0_5mg"":{""price"":""£169.00"",""availability"":""Available""},""Wegovy_1mg"":{""price"":""£169.00"",""availability"":""Available""},""Wegovy_1_7mg"":{""price"":""£224.00"",""availability"":""Available""},""Wegovy_2_4mg"":{""price"":""£269.00"",""availability"":""Available""}}","","Not Found","","","Yes","Not Found","","4.8","104705","https://www.chemist-4-u.co.uk","","Chemist4U is a UK-based online pharmacy established in 2011, offering a wide range of healthcare products and services, including prescription medications, over-the-counter medicines, and health and beauty items. They provide free delivery on NHS prescriptions and emphasize customer privacy with discreet packaging. The company is regulated by the General Pharmaceutical Council and operates from registered pharmacy premises in Skelmersdale, Lancashire. Chemist4U has received positive reviews on Trustpilot, with a rating of 4.8 out of 5 based on over 100,000 reviews.","688bd73ccf1d09a2a32b4769","2025-07-31T20:51:08.082000","2025-08-02T23:22:42.457000","6886aa4a7118eb838f680beb",""
"The Ridge Pharmacy","","Pharmacy Chain","https://theridgepharmacy.co.uk/services/mounjaro-weight-loss-service","01274 502761","theridgepharmacy@imaanhealthcare.com","The Ridge Medical Centre, Cousen Rd, Bradford BD7 3JX, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Not Found","Not Found","","","","","","The Ridge Pharmacy offers a private, medicated weight loss clinic using Mounjaro (tirzepatide), a once-weekly injection that has shown remarkable weight loss results in clinical trials—up to 20% body weight reduction in some cases. Their experienced healthcare team assesses your health, explains the options, and tailors a treatment plan just for you. The service includes an initial consultation, prescription treatment, and ongoing support with regular check-ins to track progress and ensure safety.","688bd73ccf1d09a2a32b476a","2025-07-31T20:51:08.086000","2025-08-02T23:22:43.755000","6886aa4a7118eb838f680beb",""
"Superdrug Online Doctor","","Online Doctor Service","https://onlinedoctor.superdrug.com","Not provided","Not provided","Not specified (online service; Superdrug stores across UK)","UK wide","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","25","Online consultation + medical review","","Same day","10% discount for new users, 10% student discount","Free for orders over £30, £3.99 standard","","4.3","31703","","","Superdrug Online Doctor offers confidential online consultations, at-home test kits, and treatments delivered or available for collection in as little as 3 hours. Services include women's health, weight loss, skin and hair health, and travel health.","688bd73ccf1d09a2a32b476b","2025-07-31T20:51:08.093000","2025-08-02T23:22:46.766000","6886aa4a7118eb838f680beb",""
"Asda Online Doctor","","Online Doctor Service","https://onlinedoctor.asda.com","Not provided","Not provided","Online (ASDA stores across UK)","UK wide","","","","","","{""Mounjaro_2_5mg"":{""price"":""£128.98"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£138.98"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£148.98"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£189.00"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£204.00"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£204.00"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""£118.98"",""availability"":""Available""},""Wegovy_0_5mg"":{""price"":""£138.98"",""availability"":""Available""},""Wegovy_1mg"":{""price"":""£148.98"",""availability"":""Available""},""Wegovy_1_7mg"":{""price"":""£178.98"",""availability"":""Available""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Online consultation + clinician review","","","No","Free for orders over £30, £3.99 standard","","1.9","30","https://onlinedoctor.asda.com/weight-loss-treatment/mounjaro","","Asda Online Doctor by ZAVA offers convenient and affordable healthcare services online, including medical advice and prescriptions, with treatments provided by ZAVA doctors and delivered to your chosen Asda Pharmacy or directly to your door.","688bd73ccf1d09a2a32b476c","2025-07-31T20:51:08.100000","2025-08-02T23:22:49.106000","6886aa4a7118eb838f680beb",""
"Bradford Weight Loss Clinic","","Private Clinic","https://www.bradfordweightloss.co.uk","+44 020 3637 8398","hello@bradfordweightloss.co.uk","Bradford Weight Loss Clinic, Bradford, West Yorkshire, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","Same day","Save £50 on your first month","Not Found","","4.4","12257","","","Bradford Weight Loss Clinic offers a comprehensive weight loss program combining clinically-proven medication, personal health coaching, and a supportive community to help individuals achieve sustainable weight loss without surgery.","688bd73ccf1d09a2a32b476d","2025-07-31T20:51:08.105000","2025-08-02T23:22:51.723000","6886aa4a7118eb838f680beb",""
"London Medical Clinic","london-medical-clinic","Private Clinic","https://www.londonmedicalclinic.co.uk/weight-loss","","","","","","","","","","","","","","","","","[]","","","","","London Medical Clinic offers a comprehensive weight management program led by experienced consultants, dietitians, and health coaches. Their approach includes personalized, medically supervised weight loss plans that combine expert nutrition, approved medications, and lifestyle support to help patients achieve sustainable results. The clinic provides access to weight loss injections and oral medications, with treatments closely monitored by consultants to ensure safety and effectiveness. They also offer health monitoring services, including blood tests and diagnostics, to track progress throughout the weight loss journey. Ongoing support is available through one-to-one check-ins, either in person or remotely, to help patients stay on track and adjust their plans as needed.","688be861b921fab2e8157536","2025-07-31T22:04:17.295000","2025-08-02T23:22:56.295000","6886aa4a7118eb838f680beb",""
"Numan","numan","Online Doctor Service","https://numan.com/weight-loss","","","","","","","","","","","","","","","First month of treatment starting from £169.00","","[]","4.5","26151","","","Numan offers personalized weight loss programs combining clinically-proven medications with continuous clinical care and access to experts in nutrition, exercise, and habit formation.","688be861b921fab2e8157537","2025-07-31T22:04:17.312000","2025-08-02T23:23:00.789000","6886aa4a7118eb838f680beb",""
"Mayfair Weight Loss Clinic","mayfair-weight-loss-clinic","Private Clinic","https://www.mayfairweightlossclinic.co.uk","","","","","","","","","","","","","","","","","[]","","","","","Mayfair Weight Loss Clinic is a UK-based weight management clinic located at 41 Curzon Street, Mayfair, London, W1J 7UB. They offer clinically proven and licensed weight loss medications, including Saxenda (Liraglutide), Wegovy (Semaglutide), and Mounjaro (Tirzepatide). All consultations are conducted by UK-registered prescribers, and medications are dispensed and shipped directly from a UK-based General Pharmaceutical Council (GPhC)-registered pharmacy. The clinic operates Monday to Friday, 9:00 am to 4:00 pm.","688be861b921fab2e8157538","2025-07-31T22:04:17.318000","2025-08-02T23:23:03.974000","6886aa4a7118eb838f680beb",""
"PrivateDoc","privatedoc","Online Doctor Service","https://www.privatedoc.co.uk","","","","","","","","","","","","","","Same day","","","[]","4.8","5000","","","PrivateDoc is an online digital health clinic offering consultations with UK-registered doctors for various health conditions, including weight loss, skincare, hair loss, and sexual health. They provide genuine medication dispensed by a UK pharmacy, with next-day delivery. The service is fully regulated by the Care Quality Commission (CQC).","688be861b921fab2e8157539","2025-07-31T22:04:17.325000","2025-08-02T23:23:09.332000","6886aa4a7118eb838f680beb",""
"Pharmacy Planet","pharmacy-planet","Pharmacy Chain","https://www.pharmacyplanet.com","","","","","","","","","","","","","","Same day","null","","[]","4.5","2406","","","Pharmacy Planet is a UK-registered online pharmacy offering prescription medicines delivered directly to your door. They provide a range of services, including online consultations with licensed pharmacists, ensuring discretion and confidentiality. Their user-friendly website facilitates easy ordering, and they are committed to delivering expert care and trusted advice from UK-registered pharmacists.","688be861b921fab2e815753a","2025-07-31T22:04:17.331000","2025-08-02T23:23:13.109000","6886aa4a7118eb838f680beb",""
"HealthExpress","healthexpress","Pharmacy Chain","https://www.healthexpress.co.uk/weight-loss/wegovy","","","","","","","","","","","","","","Next-day delivery","","","[]","4.8","861","","","HealthExpress offers Wegovy, a weight loss treatment that has been clinically proven to help with weight loss. Research has found patients lose upwards of 35 lbs after 15 weeks of use. Wegovy is a once-weekly injection that reduces appetite by increasing the level of the hormone glucagon-like peptide-1 (GLP-1), which controls hunger. This hormone slows down digestion and delays the stomach-emptying process, making you feel fuller for longer and leading to fat loss over time. HealthExpress provides a fully confidential service with free next-day delivery, and all prices include shipping and prescription with no hidden fees.","688be861b921fab2e815753b","2025-07-31T22:04:17.344000","2025-08-02T23:23:16.810000","6886aa4a7118eb838f680beb",""
"Prescription Doctor","prescription-doctor","Online Doctor Service","https://prescriptiondoctor.com/weight-loss","","","","","","","","","","","","","","","With code 'weg10' at checkout, receive a discount on weight loss treatments starting from £125.99.","","[]","","","","","Prescription Doctor offers clinically proven weight loss treatments, including Mounjaro, Wegovy, and others, tailored to support your weight loss journey with professional guidance and discreet delivery.","688be861b921fab2e815753d","2025-07-31T22:04:17.349000","2025-08-02T23:23:19.572000","6886aa4a7118eb838f680beb",""
"The Virtual Slimming Clinic","the-virtual-slimming-clinic","Online Doctor Service","https://www.thevirtualslimmingclinic.com","","","","","","","","","","","","","","","","","[]","4","10","","","The Virtual Slimming Clinic offers medically supervised weight loss programs, combining clinically proven medications with ongoing support from a team of professionals to help clients safely lose weight and maintain their results.","688be861b921fab2e815753e","2025-07-31T22:04:17.374000","2025-08-02T23:23:24.882000","6886aa4a7118eb838f680beb",""
"Well Pharmacy","well-pharmacy","Pharmacy Chain","https://www.well.co.uk/weight-loss","","","","","","","","","","","260","","","Next working day","","","[]","","","","","Well Pharmacy offers a medicated weight management service combining prescribed medication with a calorie-controlled diet and exercise program to help individuals achieve a healthy weight. The service includes a free initial consultation, monthly follow-up consultations, and weekly phone check-ins during the first month. The cost is £260 per month, which is non-refundable once the consultation confirms suitability for the service.","688be861b921fab2e815753f","2025-07-31T22:04:17.382000","2025-08-02T23:23:28.009000","6886aa4a7118eb838f680beb",""
"Bupa","bupa","Private Health Service","https://www.bupa.co.uk/health/weight-management","","","","","","","","","","","99","","","","","","[]","","","","","Bupa offers a Weight Management Plan designed to help individuals achieve and maintain a healthy weight safely and sustainably. The plan includes an initial consultation with a Bupa GP, prescription of weight loss medication (Wegovy®), monthly lifestyle coaching calls, and 24/7 nurse support through the Anytime HealthLine. The initial consultation costs £99, with treatment costs starting at £225 every four weeks. Eligibility criteria include being over 18 with a BMI over 30, or over 27 with a weight-related condition. Customers with diabetes are not eligible for this plan.","688be861b921fab2e8157540","2025-07-31T22:04:17.387000","2025-08-02T23:23:33.629000","6886aa4a7118eb838f680beb",""
